iter	Logloss
0	0.6873382397
1	0.6814495472
2	0.675770706
3	0.6699594219
4	0.6643071121
5	0.6586777762
6	0.6534965172
7	0.6484308136
8	0.6435630884
9	0.6384417073
10	0.6331897264
11	0.6295968388
12	0.6246575345
13	0.6196200767
14	0.614783212
15	0.6107804373
16	0.6061338789
17	0.6019731157
18	0.5978609578
19	0.5939686807
20	0.5896403709
21	0.5859910772
22	0.581917452
23	0.5781531173
24	0.5742220504
25	0.5716425435
26	0.5692564718
27	0.5656027633
28	0.5616220624
29	0.5589023976
30	0.5559786679
31	0.5530263494
32	0.5498129598
33	0.5464716708
34	0.543933997
35	0.5416352347
36	0.5383801407
37	0.5357564862
38	0.5334413936
39	0.5307119991
40	0.5283621456
41	0.5260923578
42	0.5236055181
43	0.5213892219
44	0.5187301207
45	0.5158605683
46	0.5138566092
47	0.5118550504
48	0.5096982463
49	0.5076020916
50	0.5051156805
51	0.5026539578
52	0.5014956614
53	0.4996748506
54	0.4973302263
55	0.4948329283
56	0.4930213328
57	0.4908945319
58	0.4885877545
59	0.4867081374
60	0.4845175154
61	0.4830312836
62	0.4809926922
63	0.4787866828
64	0.4768592749
65	0.4753328816
66	0.4737663269
67	0.4720915034
68	0.4703187407
69	0.4687029806
70	0.4668312501
71	0.4652048175
72	0.4635853285
73	0.4621766765
74	0.4604042568
75	0.4586646691
76	0.4574658255
77	0.4566511518
78	0.455334567
79	0.4543432171
80	0.4529388513
81	0.4514990817
82	0.4502239442
83	0.4492037055
84	0.4478833916
85	0.4465419469
86	0.4453395458
87	0.4445327587
88	0.4437492885
89	0.4422742436
90	0.4411252483
91	0.4400183431
92	0.4390394661
93	0.4380998933
94	0.4370862554
95	0.4358992416
96	0.4349474532
97	0.434018853
98	0.4328331679
99	0.4320285669
100	0.431306046
101	0.4309450214
102	0.4299452707
103	0.4293671512
104	0.428629243
105	0.4276767688
106	0.4269259164
107	0.4261790929
108	0.4251841856
109	0.4244097163
110	0.423256349
111	0.4226457403
112	0.4218528833
113	0.421137049
114	0.4206719988
115	0.4202389664
116	0.4193943752
117	0.418765636
118	0.4179985818
119	0.4173513691
120	0.4162609658
121	0.4159933369
122	0.4151391447
123	0.414696597
124	0.4140672148
125	0.4133395934
126	0.4129968707
127	0.4123252269
128	0.4121656954
129	0.4116847435
130	0.4113765674
131	0.4107492425
132	0.4101869819
133	0.4095824167
134	0.4088596387
135	0.4081822942
136	0.4077817938
137	0.4073156293
138	0.4067887724
139	0.4063343091
140	0.4056895395
141	0.4050331116
142	0.4046464556
143	0.4042384973
144	0.4037913633
145	0.4034839587
146	0.4027436074
147	0.4021506149
148	0.4017415422
149	0.4013235971
150	0.4009073236
151	0.400431858
152	0.4000153274
153	0.3996857632
154	0.3991891668
155	0.3986008462
156	0.3980868907
157	0.3974801396
158	0.3971611194
159	0.3967632765
160	0.3964223112
161	0.3959157279
162	0.3957602683
163	0.3953202494
164	0.3948587996
165	0.3945078903
166	0.3939063254
167	0.3934762505
168	0.393063063
169	0.3929575374
170	0.3924008487
171	0.3921002163
172	0.3916274081
173	0.3915531287
174	0.3911733734
175	0.3905969255
176	0.3902738335
177	0.3899260103
178	0.3897645072
179	0.3894258135
180	0.3888947562
181	0.3885675066
182	0.3882780611
183	0.3878560013
184	0.3874948909
185	0.3872173609
186	0.3869177572
187	0.3865117277
188	0.3863086486
189	0.3858566284
190	0.3856523064
191	0.3852587068
192	0.384973076
193	0.38457369
194	0.3844027573
195	0.3841026392
196	0.3838036355
197	0.383334642
198	0.3830231227
199	0.3827714384
200	0.3823981982
201	0.3821056666
202	0.3818536394
203	0.3817831318
204	0.3812656188
205	0.381225243
206	0.3808662329
207	0.3804931212
208	0.3800492876
209	0.3797886881
210	0.3795260312
211	0.3793141226
212	0.3789574698
213	0.3787689209
214	0.3784874905
215	0.3781212796
216	0.3778110461
217	0.3776620586
218	0.3772633156
219	0.3769746845
220	0.3768150244
221	0.3765343655
222	0.3762683225
223	0.3762165884
224	0.3760023653
225	0.375832547
226	0.3755052545
227	0.375289917
228	0.375034118
229	0.3747316853
230	0.3744984745
231	0.3743579307
232	0.3740894018
233	0.3737252053
234	0.3736868012
235	0.3732424961
236	0.3730341022
237	0.3727451282
238	0.3726642909
239	0.3725153891
240	0.372164737
241	0.3718123275
242	0.3717149885
243	0.3715506564
244	0.3713181742
245	0.3710997506
246	0.3709106874
247	0.3708449803
248	0.3704585815
249	0.3702374576
250	0.3700597527
251	0.3696092756
252	0.3694790615
253	0.3693105719
254	0.3690604306
255	0.3688480506
256	0.3686496435
257	0.3685172435
258	0.3682356417
259	0.3680252761
260	0.3678630014
261	0.3676775814
262	0.3675577399
263	0.3674717592
264	0.3672372196
265	0.3670775167
266	0.3668790239
267	0.3667381372
268	0.3665473595
269	0.3665203137
270	0.3663833704
271	0.3662252533
272	0.3659188774
273	0.3657815912
274	0.3656440906
275	0.3655200058
276	0.3654142658
277	0.3651294494
278	0.3649642173
279	0.3647312636
280	0.3645594308
281	0.3643355209
282	0.3641975489
283	0.3639721817
284	0.3638442822
285	0.3637799038
286	0.3636856936
287	0.3636751068
288	0.3634138643
289	0.3632249296
290	0.3631515932
291	0.3631359486
292	0.3630044487
293	0.3626705555
294	0.3624326299
295	0.3623538499
296	0.3622262505
297	0.36206269
298	0.3620488456
299	0.361986396
300	0.3618287076
301	0.361651217
302	0.3616116556
303	0.361475398
304	0.3613744157
305	0.3612702616
306	0.3611587353
307	0.3611071297
308	0.3608802624
309	0.3607772656
310	0.3606956568
311	0.3605496696
312	0.3603944243
313	0.3603446189
314	0.3602046752
315	0.3600473297
316	0.3598736967
317	0.3598200337
318	0.3595464471
319	0.359421355
320	0.3591621485
321	0.3589540332
322	0.3589055565
323	0.358796109
324	0.3586448069
325	0.3584721169
326	0.3583599048
327	0.3582531147
328	0.3581882005
329	0.3579755633
330	0.3576333335
331	0.3574296973
332	0.3572702086
333	0.3571025548
334	0.3569593322
335	0.3567804487
336	0.3566201885
337	0.3565122197
338	0.356423153
339	0.3561296784
340	0.3559845271
341	0.3556856305
342	0.3553969565
343	0.3549894269
344	0.354730799
345	0.3546207299
346	0.3544498615
347	0.3542093427
348	0.3541361777
349	0.3540479253
350	0.3539837612
351	0.3537165824
352	0.3536200791
353	0.3535334769
354	0.3534216934
355	0.3532935582
356	0.3532487248
357	0.3529228039
358	0.3526885858
359	0.352518746
360	0.3523680012
361	0.3523304543
362	0.3521293683
363	0.3519611573
364	0.351877234
365	0.3518349723
366	0.3516257211
367	0.3515014648
368	0.3514395939
369	0.3513694077
370	0.3513500771
371	0.351203447
372	0.3510075044
373	0.3509169375
374	0.3507137727
375	0.3506456439
376	0.3505993961
377	0.3504550162
378	0.3503948597
379	0.3502479296
380	0.3501809367
381	0.3500566804
382	0.3499409751
383	0.3497386461
384	0.3496669169
385	0.3496080463
386	0.3494620377
387	0.3493818433
388	0.3491922657
