iter	Passed	Remaining
821	1156	250
822	1158	249
823	1159	247
824	1161	246
825	1163	245
826	1164	243
827	1166	242
828	1167	240
829	1169	239
830	1171	238
831	1173	236
832	1174	235
833	1176	234
834	1178	232
835	1180	231
836	1181	230
837	1183	228
838	1184	227
839	1186	226
840	1188	224
841	1189	223
842	1191	221
843	1192	220
844	1194	219
845	1195	217
846	1197	216
847	1198	214
848	1199	213
849	1201	211
850	1202	210
851	1204	209
852	1205	207
853	1206	206
854	1207	204
855	1209	203
856	1210	202
857	1212	200
858	1213	199
859	1214	197
860	1215	196
861	1217	194
862	1219	193
863	1220	192
864	1221	190
865	1223	189
866	1224	187
867	1225	186
868	1227	184
869	1228	183
870	1229	182
871	1230	180
872	1232	179
873	1234	177
874	1235	176
875	1236	175
876	1238	173
877	1239	172
878	1240	170
879	1242	169
880	1243	168
881	1245	166
882	1246	165
883	1247	163
884	1249	162
885	1250	160
886	1252	159
887	1253	158
888	1254	156
889	1255	155
890	1257	153
891	1258	152
892	1260	151
893	1261	149
894	1262	148
895	1263	146
896	1265	145
897	1266	143
898	1268	142
899	1269	141
900	1271	139
901	1272	138
902	1274	136
903	1275	135
904	1276	134
905	1278	132
906	1279	131
907	1281	129
908	1283	128
909	1284	127
910	1285	125
911	1287	124
912	1288	122
913	1290	121
914	1291	120
915	1293	118
916	1294	117
917	1296	115
918	1297	114
919	1299	112
920	1300	111
921	1301	110
922	1303	108
923	1304	107
924	1306	105
925	1307	104
926	1309	103
927	1310	101
928	1311	100
929	1313	98
930	1314	97
931	1315	96
932	1317	94
933	1318	93
934	1319	91
935	1321	90
936	1322	88
937	1324	87
938	1325	86
939	1326	84
940	1328	83
941	1329	81
942	1331	80
943	1332	79
944	1333	77
945	1335	76
946	1336	74
947	1338	73
948	1339	71
949	1340	70
950	1342	69
951	1343	67
952	1345	66
953	1346	64
954	1348	63
955	1349	62
956	1350	60
957	1354	59
958	1356	57
959	1357	56
960	1359	55
961	1360	53
962	1362	52
963	1364	50
964	1365	49
965	1367	48
966	1368	46
967	1370	45
968	1371	43
969	1373	42
970	1374	41
971	1376	39
972	1377	38
973	1379	36
974	1380	35
975	1382	33
976	1383	32
977	1385	31
978	1387	29
979	1388	28
980	1389	26
981	1391	25
982	1392	24
983	1394	22
984	1395	21
985	1397	19
986	1398	18
987	1399	17
988	1401	15
989	1402	14
990	1403	12
991	1405	11
992	1406	9
993	1408	8
994	1409	7
995	1411	5
996	1412	4
997	1413	2
998	1414	1
999	1416	0
